,Observation,Risk
0,separate road light vehicle maintained,Low
1,bench sufficient berm,Low
2,light arrangement adequate,Low
3,light arrangement adequate,Low
4,contractor equipment record available,Low
5,contractor equipment record maintained properly,Low
6,contractor equipment recordwere maintained properly,Low
7,dozer available mine,Low
8,far possible separate road light vehicle maintained,Low
9,far possible separate road light vehicle maintained,Low
10,general training provided upskilled training arrangement available mine,Low
11,done time trial blasting required blasting permission regular practice,Low
12,done ocassionally measured regular basis,Low
13,workshop constructed contractor equipment,Low
14,workshop constructed contractor equipment,Low
15,blaster deployed drilling blasting,Low
16,blaster deployed drilling blasting,Low
17,blaster deployed drilling blasting,Low
18,shortage material observed per schedule miner rule,Low
19,place dust haul road avaiable water sprinkling effective,Low
20,fix point noise measured outsourcing agency mine,Low
21,fix point noise measured outsourcing agency mine,Low
22,fix point noise measured outsourcing agency mine,Low
23,automatic fire fighting arrangement provided,Low
24,ava brake system functioning properly record maintained,Low
25,ava etc available side indicator functioning,Low
26,ava dumper installed light side indicator functioning,Low
27,ava functioning lighting indicator working,Low
28,ava attached reverse gear camera also damaged rear lh rh indicator also defunct back light damaged wipper defunct,Low
29,available maintained properly,Low
30,berm made haul road place undulation observed suggested regrade undulated surface haul road,Low
31,berm top haul road made berm made throughout haul road,Low
32,blaster register maintained diesel quantity used manufacturing anfo mentioned blaster diary,Low
33,brake testing record maintained one log book operator maintained also per desired proceedure,Low
34,brake condition record maintained properly,Low
35,shortage material observed first aid station,Low
36,dozer available mine,Low
37,drain maintained haul road dump area hence always possible accumulate water depressed portion surface,Low
38,drain maintained avoid accumulation water haul road,Low
39,drain maintained avoid accumulation water haul road,Low
40,drain parallel haul road made good maintainance road,Low
41,drain made good maintainance haul road,Low
42,drain made good maintainance road,Low
43,drain made good maintainance road,Low
44,drain made good maintainance road,Low
45,drain made good maintainance road,Low
46,drain made good maintainance road,Low
47,drain made good maintainance road,Low
48,drinking water fascility seen time mine visit,Low
49,drinking water must readily available rest shelter,Low
50,drinking water easily available nearby operational area,Low
51,drinking water kept available throughout working duration,Low
52,due small quarry drainage system culvert required,Low
53,dumper road properly wet,Low
54,fencing along quarry made side one side mine open proper fencing done along quarry probhit unauthorised entry,Low
55,fencing mine seen fenced along mine boundary,Low
56,column form filled record,Low
57,detail regarding employee filled,Low
58,place undulation haul road observed hence suggested levelled road grader,Low
59,fire extinguisher available due tate expired,Low
60,fire extinguisher available euipment properly fixed,Low
61,fire extinguisher available excavator dumper provided drill,Low
62,fire extinguisher installed record maintained,Low
63,fire extinguisher provided fire extinguisher provided amtahi excavator,Low
64,fire extinguisher provided maintainance record available,Low
65,fire fighting extinguiser provided dumper workshop available drill,Low
66,fire fighting scheme available mine fire fighting equipment available equipment,Low
67,fire tender available mine,Low
68,first aid box first aid outfit provided stretcher blanket triangular bandage available first aid station,Low
69,first aid room established medical dispensary shortage item noted,Low
70,first aid station maintained rest shelter shortage blanket stretcher traingular bandgages,Low
71,first aid station maintained nearby mine area,Low
72,first aid station first aid outfit maintained,Low
73,flat storage plan seen,Low
74,flat storage plan available,Low
75,flat storage rack plan seen,Low
76,safe exit case emergency alternate road maintained,Low
77,safe working alternate road maintained,Low
78,form part maintained soft copy soft copy fully protected column form format also found blank suggested maintained form soft copy fully protected unauthorised person authorised person able make entry edit data,Low
79,form part maintained soft copy maintained soft copy fully protected column form format found blank suggested maintained form soft copy fully protected unauthorised person authorised person able make entry edit data,Low
80,form register january maintained,Low
81,general training provided upskilled training arrangement available mine,Low
82,ground vibration meaurement practice mine,Low
83,haul road surface found undulated properly graded grader,Low
84,haul road surface found undulated suggested maintain smooth surface proper grading haul road grader,Low
85,haul road maintained road width single time dumper width,Low
86,haul road width sufficient place maintained time dumper width,Low
87,heavy dust observed although water tanker operation frequency water spraying increased,Low
88,improved lighting required,Low
89,form coloumn found empty,Low
